id,Name,Location,Pincode,Category,Total beds ICU,Total beds normal,Total beds ventilation,Available beds ICU,Available beds normal,Available beds ventilation
329,Usc Verdugo Hills Hospital,"Glendale, CA",,Private,338,412,41,139,251,3
330,Regional Medical Center Of San Jose,"San Jose, CA",,Government,416,604,60,185,49,30
331,Valley Presbyterian Hospital,"Van Nuys, CA",,Unknown,297,108,14,177,68,4
332,Woodland Memorial Hospital,"Woodland, CA",,Unknown,387,555,34,346,292,19
333,Tri-city Medical Center,"Oceanside, CA",,Government,455,446,25,389,81,13
334,St Bernardine Medical Center,"San Bernardino, CA",,Private,204,148,61,185,81,56
335,Novato Community Hospital,"Novato, CA",,Unknown,255,603,59,207,361,52
336,San Gabriel Valley Medical Center,"San Gabriel, CA",,Proprietary,383,340,65,247,73,57
337,Rideout Memorial Hospital,"Marysville, CA",,Government,138,379,55,5,59,4
338,Southern California Hospital At Hollywood,"Hollywood, CA",,Proprietary,145,484,64,91,458,20
339,Petaluma Valley Hospital,"Petaluma, CA",,Unknown,144,155,71,36,54,0
340,Kaiser Foundation Hospital - Panorama City,"Panorama City, CA",,Private,382,280,40,323,187,0
341,Kaiser Foundation Hospital - Los Angeles,"Los Angeles, CA",,Unknown,371,200,17,182,173,3
342,Kaiser Foundation Hospital - Downey,"Downey, CA",,Unknown,297,387,74,151,366,12
343,Kaiser Foundation Hospital Fontana,"Fontana, CA",,Private,102,168,36,18,133,5
344,Community Hospital Of The Monterey Peninsula,"Monterey, CA",,Private,316,395,9,230,171,9
345,California Hospital Medical Center La,"Los Angeles, CA",,Unknown,346,538,4,91,338,4
346,Sierra Nevada Memorial Hospital,"Grass Valley, CA",,Unknown,22,382,26,14,99,6
347,Saint Francis Memorial Hospital,"San Francisco, CA",,Private,223,343,40,122,141,28
348,O'connor Hospital,"San Jose, CA",,Private,188,246,53,35,148,50
349,Encino Hospital Medical Center,"Encino, CA",,Proprietary,64,301,23,25,143,11
350,Ventura County Medical Center,"Ventura, CA",,Government,36,508,52,30,2,19
351,San Joaquin General Hospital,"French Camp, CA",,Government,246,180,14,228,78,9
352,St Jude Medical Center,"Fullerton, CA",,Church,275,679,46,21,368,12
353,Pih Health Hospital-whittier,"Whittier, CA",,Private,139,570,19,89,471,18
354,Santa Rosa Memorial Hospital,"Santa Rosa, CA",,Private,327,520,32,179,253,17
355,Emanuel Medical Center,"Turlock, CA",,Church,406,70,7,403,34,6
356,John Muir Medical Center - Walnut Creek Campus,"Walnut Creek, CA",,Unknown,287,145,49,178,145,6
357,George L Mee Memorial Hospital,"King City, CA",,Unknown,495,311,55,283,277,16
358,St Mary Medical Center,"Long Beach, CA",,Church,95,63,45,79,46,39
359,Adventist Health Reedley,"Reedley, CA",,Private,149,436,39,50,60,15
360,Watsonville Community Hospital,"Watsonville, CA",,Proprietary,89,640,9,12,158,6
361,Washington Hospital,"Fremont, CA",,Government,210,269,10,60,143,0
362,Sequoia Hospital,"Redwood City, CA",,Private,115,289,29,106,143,7
363,Palmdale Regional Medical Center,"Palmdale, CA",,Proprietary,240,434,41,239,324,3
364,East Valley Glendora Hospital,"Glendora, CA",,Proprietary,206,285,23,99,45,4
365,Alameda Hospital,"Alameda, CA",,Government,122,331,7,108,257,0
366,Sharp Chula Vista Medical Center,"Chula Vista, CA",,Proprietary,345,309,7,48,106,3
367,Hoag Memorial Hospital Presbyterian,"Newport Beach, CA",,Private,165,216,24,18,162,12
368,Adventist Health Feather River,"Paradise, CA",,Church,201,494,43,35,99,25
369,Ahmc Anaheim Regional Medical Center,"Anaheim, CA",,Private,130,649,42,28,406,15
370,Zuckerberg San Francisco General Hosp & Trauma Ctr,"San Francisco, CA",,Government,146,557,16,25,95,2
371,Garden Grove Hospital & Medical Center,"Garden Grove, CA",,Proprietary,307,120,4,48,27,2
372,Pomona Valley Hospital Medical Center,"Pomona, CA",,Private,323,293,52,194,49,49
373,French Hospital Medical Center,"San Luis Obispo, CA",,Private,75,234,40,27,192,7
374,Sharp Coronado Hospital And Hlthcr Ctr,"Coronado, CA",,Proprietary,75,674,36,36,471,9
375,Providence Saint Joseph Medical Ctr,"Burbank, CA",,Church,237,407,3,139,342,0
376,Adventist Health Simi Valley,"Simi Valley, CA",,Church,388,59,6,34,57,1
377,Methodist Hospital Of Southern Ca,"Arcadia, CA",,Private,57,92,74,6,5,44
378,Glendale Adventist Medical Center,"Glendale, CA",,Private,478,443,27,349,401,13
379,Dominican Hospital,"Santa Cruz, CA",,Proprietary,17,120,58,7,72,25
380,Desert Regional Medical Center,"Palm Springs, CA",,Proprietary,402,635,36,268,100,17
381,Arrowhead Regional Medical Center,"Colton, CA",,Government,24,614,77,7,131,18
382,Natividad Medical Center,"Salinas, CA",,Government,372,184,24,35,141,24
383,Marshall Medical Center,"Placerville, CA",,Private,326,440,23,244,412,19
384,Good Samaritan Hospital,"Bakersfield, CA",,Proprietary,145,491,27,47,377,5
385,Sierra View Medical Center,"Porterville, CA",,Private,491,515,18,380,444,15
386,Ronald Reagan U C L A Medical Center,"Los Angeles, CA",,Government,296,457,42,136,456,41
387,Redlands Community Hospital,"Redlands, CA",,Government,2,697,53,1,415,0
388,Contra Costa Regional Medical Center,"Martinez, CA",,Government,3,40,33,2,35,25
389,Providence Holy Cross Medical Center,"Mission Hills, CA",,Church,294,169,52,178,148,40
390,Hi-desert Medical Center,"Joshua Tree, CA",,Government,61,529,23,32,75,14
391,Mercy Medical Center Redding,"Redding, CA",,Private,78,696,13,45,380,1
392,Alhambra Hospital Medical Center,"Alhambra, CA",,Proprietary,225,232,75,60,107,72
393,Stanford Health Care - Valleycare,"Pleasanton, CA",,Private,238,234,64,8,59,1
394,Seton Medical Center,"Daly City, CA",,Church,56,619,18,2,550,9
395,Providence Saint John's Health Center,"Santa Monica, CA",,Private,343,228,51,213,151,28
396,Sutter Santa Rosa Regional Hospital,"Santa Rosa, CA",,Unknown,330,578,8,170,31,5
397,Riverside University Health System-medical Center,"Moreno Valley, CA",,Government,8,174,22,5,48,18
398,Mercy Hospital,"Bakersfield, CA",,Unknown,207,454,44,43,383,17
399,Hazel Hawkins Memorial Hospital,"Hollister, CA",,Government,498,591,72,142,428,64
400,Barstow Community Hospital,"Barstow, CA",,Proprietary,326,39,13,35,2,13
401,St Mary Medical Center,"Apple Valley, CA",,Private,39,180,49,34,11,7
402,Adventist Health Ukiah Valley,"Ukiah, CA",,Church,234,58,14,129,45,8
403,Alta Bates Summit Medical Center - Alta Bates Camp,"Berkeley, CA",,Private,395,105,67,389,36,13
404,El Camino Hospital,"Mountain View, CA",,Government,80,680,10,69,65,0
405,Sutter Roseville Medical Center,"Roseville, CA",,Unknown,113,118,36,99,27,20
406,Sutter Tracy Community Hospital,"Tracy, CA",,Private,297,210,67,148,169,65
407,Kern Medical Center,"Bakersfield, CA",,Unknown,32,470,71,23,31,60
408,Highland Hospital,"Oakland, CA",,Government,1,262,3,1,54,2
409,Scripps Memorial Hospital La Jolla,"La Jolla, CA",,Unknown,78,214,16,6,159,3
410,Loma Linda University Medical Center,"Loma Linda, CA",,Private,382,695,24,68,275,9
411,Corona Regional Medical Center,"Corona, CA",,Proprietary,243,262,65,209,211,30
412,Salinas Valley Memorial Hospital,"Salinas, CA",,Unknown,478,81,22,375,24,20
413,Adventist Health Sonora,"Sonora, CA",,Church,333,293,35,23,10,35
414,Adventist Health Lodi Memorial,"Lodi, CA",,Unknown,4,180,65,4,100,24
415,Pioneers Memorial Healthcare District,"Brawley, CA",,Government,353,523,71,182,455,25
416,University Of California Irvine Med Center,"Orange, CA",,Government,345,291,50,150,165,1
417,Beverly Hospital,"Montebello, CA",,Private,19,607,73,12,174,52
418,Torrance Memorial Medical Center,"Torrance, CA",,Unknown,67,120,59,25,107,54
419,Barton Memorial Hospital,"South Lake Tahoe, CA",,Private,191,552,59,38,183,32
420,Providence Little Company Of Mary Med Ctr Torrance,"Torrance, CA",,Church,399,386,30,86,222,26
421,Goleta Valley Cottage Hospital,"Santa Barbara, CA",,Unknown,309,49,52,159,31,46
422,Marin General Hospital,"Greenbrae, CA",,Government,80,150,73,71,70,28
423,Northbay Medical Center,"Fairfield, CA",,Unknown,78,493,10,39,105,1
424,Lac+usc Medical Center,"Los Angeles, CA",,Government,35,641,24,7,436,19
425,Lac/harbor-ucla Med Center,"Torrance, CA",,Government,198,593,56,41,499,21
426,Pacifica Hospital Of The Valley,"Sun Valley, CA",,Proprietary,328,514,44,102,58,1
427,Good Samaritan Hospital,"San Jose, CA",,Proprietary,302,665,18,185,374,8
428,Citrus Valley Medical Center-ic Campus,"Covina, CA",,Proprietary,481,42,10,218,37,2
429,Hemet Valley Medical Center,"Hemet, CA",,Unknown,103,260,8,12,170,2
430,Pih Hospital - Downey,"Downey, CA",,Private,23,524,47,20,84,6
431,Community Memorial Hospital San Buenaventura,"Ventura, CA",,Private,222,339,15,159,165,7
432,Santa Barbara Cottage Hospital,"Santa Barbara, CA",,Private,224,444,64,62,363,17
433,Coalinga Regional Medical Center,"Coalinga, CA",,Government,421,49,72,381,12,2
434,Chinese Hospital,"San Francisco, CA",,Private,412,166,8,193,89,6
435,Kaiser Foundation Hospital - South Bay,"Harbor City, CA",,Unknown,418,542,32,88,517,4
436,Mercy Hospital Of Folsom,"Folsom, CA",,Private,279,351,64,32,84,10
437,Sutter Coast Hospital,"Crescent City, CA",,Government,445,467,22,393,306,12
438,Palo Verde Hospital,"Blythe, CA",,Government,129,639,32,58,491,6
439,Scripps Green Hospital,"La Jolla, CA",,Unknown,28,327,11,14,184,8
440,Kaiser Foundation Hospital - Sacramento,"Sacramento, CA",,Private,264,176,65,199,7,40
441,West Anaheim Medical Center,"Anaheim, CA",,Proprietary,87,51,76,1,11,36
442,Huntington Memorial Hospital,"Pasadena, CA",,Unknown,324,96,54,277,4,21
443,Stanford Health Care,"Stanford, CA",,Private,96,532,23,17,212,15
444,Mercy Medical Center,"Merced, CA",,Private,282,646,52,243,230,33
445,Ucsf Medical Center,"San Francisco, CA",,Unknown,420,628,39,32,392,25
446,Adventist Health Bakersfield,"Bakersfield, CA",,Private,239,391,63,205,67,16
447,St Mary's Medical Center,"San Francisco, CA",,Private,327,172,65,295,57,63
448,Doctors Medical Center,"Modesto, CA",,Proprietary,122,135,33,81,23,0
449,Memorial Hospital Of Gardena,"Gardena, CA",,Proprietary,98,106,71,89,63,65
450,Good Samaritan Hospital,"Los Angeles, CA",,Proprietary,177,112,52,36,35,22
451,West Hills Hospital & Medical Center,"West Hills, CA",,Proprietary,84,505,44,1,103,36
452,Long Beach Memorial Medical Center,"Long Beach, CA",,Unknown,357,138,33,212,50,19
453,Eden Medical Center,"Castro Valley, CA",,Unknown,172,191,35,100,120,15
454,Clovis Community Medical Center,"Clovis, CA",,Private,189,611,67,171,324,60
455,John Muir Medical Center - Concord Campus,"Concord, CA",,Private,345,321,66,239,220,24
456,Sutter Auburn Faith Hospital,"Auburn, CA",,Unknown,192,298,36,42,99,8
457,Saint Vincent Medical Center,"Los Angeles, CA",,Church,155,442,12,56,309,6
458,Scripps Memorial Hospital - Encinitas,"Encinitas, CA",,Private,295,422,76,37,416,76
459,Sierra Vista Regional Medical Center,"San Luis Obispo, CA",,Proprietary,228,334,33,102,122,21
460,Kaiser Foundation Hospital,"San Rafael, CA",,Unknown,106,73,9,103,4,7
461,Kaiser Foundation Hospital - Fremont,"Fremont, CA",,Unknown,446,661,14,310,129,4
462,Kaiser Foundation Hospital - Zion,"San Diego, CA",,Private,324,634,29,128,55,28
463,Mercy San Juan Medical Center,"Carmichael, CA",,Unknown,500,287,76,448,70,14
464,Victor Valley Global Medical Center,"Victorville, CA",,Private,465,464,27,99,279,14
465,Sutter Delta Medical Center,"Antioch, CA",,Private,106,154,51,52,55,48
466,Huntington Beach Hospital,"Huntington Beach, CA",,Proprietary,499,334,28,112,63,24
467,Memorial Hospital Los Banos,"Los Banos, CA",,Private,184,431,15,104,390,1
468,John F Kennedy Memorial Hospital,"Indio, CA",,Proprietary,142,591,49,32,118,30
469,Sutter Davis Hospital,"Davis, CA",,Private,299,103,64,163,52,42
470,Kaiser Foundation Hospital - Redwood City,"Redwood City, CA",,Unknown,241,360,66,158,149,2
471,College Hospital Costa Mesa,"Costa Mesa, CA",,Proprietary,105,167,57,86,65,47
472,Porterville Developmental Center,"Porterville, CA",,Government,447,137,37,37,128,29
473,Sonoma Developmental Center,"Eldridge, CA",,Government,7,342,13,2,206,6
474,Fairview Developmental Center,"Costa Mesa, CA",,Government,282,278,40,102,126,5
475,Los Robles Hospital & Medical Center,"Thousand Oaks, CA",,Proprietary,131,454,48,118,81,9
476,Los Alamitos Medical Center,"Los Alamitos, CA",,Proprietary,297,524,39,166,128,19
477,Memorial Medical Center,"Modesto, CA",,Private,221,557,60,151,129,10
478,Kaiser Foundation Hospital - West La,"Los Angeles, CA",,Private,49,196,64,18,68,49
479,Mission Hospital Regional Med Center,"Mission Viejo, CA",,Private,67,138,39,46,62,26
480,Madera Community Hospital,"Madera, CA",,Unknown,274,134,28,123,127,12
481,Fountain Valley Regional Hospital & Medical Center,"Fountain Valley, CA",,Proprietary,264,564,14,119,169,10
482,Eisenhower Medical Center,"Rancho Mirage, CA",,Proprietary,337,52,74,141,12,72
483,La Palma Intercommunity Hospital,"La Palma, CA",,Proprietary,132,256,3,57,223,0
484,Lakewood Regional Medical Center,"Lakewood, CA",,Proprietary,459,288,45,320,131,9
485,Chino Valley Medical Center,"Chino, CA",,Proprietary,329,104,59,102,92,18
486,San Dimas Community Hospital,"San Dimas, CA",,Proprietary,9,91,25,3,42,11
487,Placentia Linda Hospital,"Placentia, CA",,Proprietary,370,481,9,217,271,9
488,Methodist Hospital Of Sacramento,"Sacramento, CA",,Unknown,135,314,18,113,97,6
489,Foothill Presbyterian Hospital,"Glendora, CA",,Private,417,140,66,385,72,63
490,University Of California Davis Medical Center,"Sacramento, CA",,Unknown,463,166,48,309,90,37
491,Memorialcare Saddleback Medical Center,"Laguna Hills, CA",,Private,412,517,4,22,516,3
492,Kaiser Foundation Hospital-san Jose,"San Jose, CA",,Unknown,421,319,23,43,295,12
493,Delano Regional Medical Center,"Delano, CA",,Proprietary,404,408,23,277,73,18
494,Kaiser Foundation Hospital - Orange County - Anahe,"Anaheim, CA",,Unknown,51,172,2,42,138,2
495,St Johns Pleasant Valley Hospital,"Camarillo, CA",,Church,156,402,69,32,354,15
496,Henry Mayo Newhall  Hospital,"Valencia, CA",,Private,486,76,74,199,53,44
497,Cedars-sinai Medical Center,"Los Angeles, CA",,Unknown,98,53,10,97,24,1
498,Twin Cities Community Hospital,"Templeton, CA",,Proprietary,470,167,30,425,83,20
499,Pomerado Hospital,"Poway, CA",,Government,86,662,23,81,116,5
500,East Los Angeles Doctors Hospital,"Los Angeles, CA",,Proprietary,337,305,73,149,73,62
501,Los Angeles Community Hospital,"Los Angeles, CA",,Proprietary,491,389,75,422,68,9
502,Laguna Honda Hospital & Rehabilitation Center,"San Francisco, CA",,Government,355,539,71,131,420,14
503,Kaiser Foundation Hosp So Sacramento,"Sacramento, CA",,Unknown,353,453,62,100,42,22
504,Kaiser Foundation Hospital - Woodland Hills,"Woodland Hills, CA",,Private,50,334,21,30,166,6
505,Orange Coast Memorial Medical Center,"Fountain Valley, CA",,Proprietary,46,156,3,19,42,1
506,Menifee Valley Medical Center,"Sun City, CA",,Unknown,102,478,36,46,268,31
507,"Kaiser Foundation Hospital, Riverside","Riverside, CA",,Unknown,388,560,20,117,479,11
508,St Louise Regional Hospital,"Gilroy, CA",,Church,143,43,72,75,28,64
509,San Ramon Regional Medical Center,"San Ramon, CA",,Proprietary,6,370,42,6,44,2
510,Kaiser Foundation Hospital-santa Rosa,"Santa Rosa, CA",,Unknown,457,353,75,299,94,29
511,Keck Hospital Of Usc,"Los Angeles, CA",,Unknown,41,292,51,3,232,4
512,Patients' Hospital Of Redding,"Redding, CA",,Unknown,31,522,6,12,497,0
513,Southwest Healthcare System,"Murrieta, CA",,Proprietary,431,381,49,142,80,40
514,Mission Community Hospital,"Panorama City, CA",,Private,476,207,49,327,86,31
515,Fresno Surgical Hospital,"Fresno, CA",,Proprietary,333,477,50,274,322,48
516,Desert Valley Hospital,"Victorville, CA",,Proprietary,202,289,54,190,106,53
517,Kaiser Foundation Hospital - Fresno,"Fresno, CA",,Private,496,374,13,349,112,5
518,Sutter Maternity & Surgery Center Of Santa Cruz,"Santa Cruz, CA",,Private,260,367,22,99,13,9
519,Lac/rancho Los Amigos National Rehabilitation  Ctr,"Downey, CA",,Government,375,548,56,233,22,9
520,Kaiser Foundation Hospital - Baldwin Park,"Baldwin Park, CA",,Unknown,305,156,11,189,85,5
521,Bakersfield Heart Hospital,"Bakersfield, CA",,Proprietary,431,148,25,98,110,22
522,Stanislaus Surgical Hospital,"Modesto, CA",,Proprietary,123,78,15,115,14,2
523,Community Hospital Of Long Beach,"Long Beach, CA",,Private,52,294,16,45,20,8
524,Whittier Hospital Medical Center,"Whittier, CA",,Proprietary,227,626,71,213,355,45
525,Monterey Park Hospital,"Monterey Park, CA",,Proprietary,100,201,33,81,95,25
526,Garfield Medical Center,"Monterey Park, CA",,Proprietary,120,607,5,88,493,0
527,Greater El Monte Community Hospital,"South El Monte, CA",,Private,95,389,35,60,37,18
528,Centinela Hospital Medical Center,"Inglewood, CA",,Proprietary,339,518,33,196,145,25
529,Marina Del Rey Hospital,"Marina Del Rey, CA",,Proprietary,240,570,16,113,498,3
530,Olympia Medical Center,"Los Angeles, CA",,Proprietary,349,289,58,20,64,5
531,Anaheim Global Medical Center,"Anaheim, CA",,Proprietary,24,652,68,12,397,56
532,Chapman Global Medical Center,"Orange, CA",,Proprietary,398,409,43,22,298,19
533,Orange County Global Medical Center,"Santa Ana, CA",,Proprietary,459,508,43,33,188,9
534,South Coast Global Medical Center,"Santa Ana, CA",,Proprietary,300,93,4,173,17,4
535,Kaiser Foundation Hospital Manteca,"Manteca, CA",,Private,16,611,63,1,303,62
536,Miracle Mile Medical Center,"Los Angeles, CA",,Proprietary,167,416,4,48,30,0
537,Menlo Park Surgical Hospital,"Menlo Park, CA",,Private,425,286,71,126,156,17
538,Sherman Oaks Hospital,"Sherman Oaks, CA",,Private,231,430,6,144,31,5
539,Alvarado Hospital Medical Center,"San Diego, CA",,Proprietary,151,107,56,84,59,26
540,Montclair Hospital Medical Center,"Montclair, CA",,Private,437,461,39,363,37,11
541,Kaiser Foundation Hospital - Antioch,"Antioch, CA",,Proprietary,202,145,45,69,52,0
542,Providence Tarzana Medical Center,"Tarzana, CA",,Private,282,560,63,281,251,26
543,Silver Lake Medical Center,"Los Angeles, CA",,Proprietary,214,213,71,62,86,1
544,Shasta Regional Medical Center,"Redding, CA",,Proprietary,141,476,62,140,153,30
545,Kaiser Foundation Hospital-moreno Valley,"Moreno Valley, CA",,Unknown,416,400,4,134,137,3
546,Sutter Surgical Hospital - North Valley,"Yuba City, CA",,Unknown,32,536,25,5,230,11
547,Kaiser Foundation Hospital - Vacaville,"Vacaville, CA",,Proprietary,195,279,27,57,42,12
548,Hoag Orthopedic Institute,"Irvine, CA",,Proprietary,330,196,73,20,6,64
549,Loma Linda University Medical Center-murrieta,"Murrieta, CA",,Private,277,90,52,138,52,36
